high,low,code,price
31000,16700,000060,23850
24100,13000,000080,18550
19350,10450,000087,14900
48350,26050,000215,37200
23900,12900,000227,18400
21500,11600,000240,16550
44200,23800,000270,34000
24600,13300,000325,18950
23500,12700,000500,18100
42600,23000,000520,32800
31300,16900,000547,24100
26250,14150,000760,20200
35450,19150,000860,27300
41250,22250,000880,31750
25600,13800,000885,19700
19850,10750,00088K,15300
23250,12550,000950,17900
46000,24800,000995,35400
36400,19600,001065,28000
23000,12400,001080,17700
22600,12200,001120,17400
32800,17700,001140,25250
27150,14650,001270,20900
24850,13450,001275,19150
22200,12000,001390,17100
26300,14200,001430,20250
48450,26150,001450,37300
39700,21400,001529,30550
28100,15200,001550,21650
38050,20550,001680,29300
29100,15700,001770,22400
28200,15200,001790,21700
30600,16500,001799,23550
25500,13800,001800,19650
19000,10300,001880,14650
45100,24300,002020,34700
23250,12550,002025,17900
18650,10050,002100,14350
28200,15200,002200,21700
24750,13350,002210,19050
27000,14600,002220,20800
36050,19450,002240,27750
37200,20100,002250,28650
24850,13450,002300,19150
49400,26600,002310,38000
42900,23100,002390,33000
18900,10200,002460,14550
37850,20450,002620,29150
39450,21250,002795,30350
19800,10700,002810,15250
33300,18000,002995,25650
29700,16000,003000,22850
19500,10500,003075,15000
26750,14450,003090,20600
22350,12050,003220,17200
48450,26150,003350,37300
42800,23100,003490,32950
18650,10050,003495,14350
28700,15500,003960,22100
25150,13550,004430,19350
25000,13500,004545,19250
48250,26050,004700,37150
23100,12500,004960,17800
21150,11450,005070,16300
18900,10200,005190,14550
34050,18350,005250,26200
24050,12950,005257,18500
20300,11000,005420,15650
19100,10300,005440,14700
23850,12850,005820,18350
30400,16400,005850,23400
29550,15950,005880,22750
45500,24500,005935,35000
20950,11350,005965,16150
37100,20000,006120,28550
20800,11200,006125,16000
48550,26150,007070,37350
40850,22050,007340,31450
46950,25350,007540,36150
42550,22950,007570,32750
25000,13500,007575,19250
34500,18600,008355,26550
34950,18850,008490,26900
28250,15250,008500,21750
40150,21650,009140,30900
48600,26200,009420,37400
27300,14700,009470,21000
47250,25450,009770,36350
30200,16300,009830,23250
28450,15350,010660,21900
43250,23350,010780,33300
35800,19300,011155,27550
33250,17950,011760,25600
44300,23900,011785,34100
49750,26850,011790,38300
20900,11300,011810,16100
42250,22750,012450,32500
24550,13250,012630,18900
31100,16800,013580,23950
31700,17100,014280,24400
38800,20900,014820,29850
26250,14150,014825,20200
20800,11200,014915,16000
46050,24850,015760,35450
44200,23800,016360,34000
25400,13700,016580,19550
42550,22950,016800,32750
20800,11200,019440,16000
32800,17700,023450,25250
28250,15250,023590,21750
28450,15350,026960,21900
46650,25150,027390,35900
20500,11100,028050,15800
21600,11700,028100,16650
19400,10500,029460,14950
44550,24050,029780,34300
29600,16000,030000,22800
36000,19400,030200,27700
19000,10300,032640,14650
35600,19200,033270,27400
32400,17500,034120,24950
27350,14750,034220,21050
40150,21650,034300,30900
25850,13950,034310,19900
38000,20500,034590,29250
41600,22400,035250,32000
37600,20300,042660,28950
32550,17550,044820,25050
24200,13100,047050,18650
46700,25200,047810,35950
45800,24700,051600,35250
34450,18550,052690,26500
26250,14150,055490,20200
27750,14950,058430,21350
30250,16350,063160,23300
29300,15800,064350,22550
46450,25050,064960,35750
40100,21600,066575,30850
21500,11600,068290,16550
26250,14150,069260,20200
36515,19665,069500,28090
36985,19915,069660,28450
47500,25600,071055,36550
31350,16950,071090,24150
19000,10300,078520,14650
47550,25650,078935,36600
27750,14950,079430,21350
49100,26500,079440,37800
47350,25550,079550,36450
43200,23300,081000,33250
36050,19450,084670,27750
49400,26600,086790,38000
49100,26500,089590,37800
27960,15060,091160,21510
28455,15325,091230,21890
32750,17650,093050,25200
28015,15085,099140,21550
36435,19625,102110,28030
26500,14300,102460,20400
38350,20650,103140,29500
36905,19875,105190,28390
32950,17750,105630,25350
36945,19895,108590,28420
41500,22400,108675,31950
42900,23100,111770,33000
42350,22850,112610,32600
29600,16000,114090,22800
26300,14200,115390,20250
22415,12075,117690,17245
29700,16000,120115,22850
24385,13135,122090,18760
47855,25775,133690,36815
21195,11415,138540,16305
26725,14395,139260,20560
28070,15120,140950,21595
43065,23195,143850,33130
47975,25835,143860,36905
38210,20580,145850,29395
49650,26750,145995,38200
27965,15065,147970,21515
36580,19700,148020,28140
36800,19820,152100,28310
20450,11050,152330,15750
37190,20030,152870,28610
27975,15065,153270,21520
27610,14870,159800,21240
24730,13320,168300,19025
27770,14960,168580,21365
20890,11250,169950,16070
19935,10735,174360,15335
35400,19100,180640,27250
23750,12850,18064K,18300
42730,23010,183710,32870
30015,16165,185680,23090
20000,10800,192650,15400
38300,20630,192720,29465
19000,10300,194370,14650
26900,14490,200020,20695
19220,10350,200030,14785
20175,10865,200040,15520
19570,10540,203780,15055
39750,21450,204320,30600
20050,10850,210540,15450
40850,22050,210980,31450
41265,22225,211260,31745
20290,10930,211560,15610
24150,13050,213500,18600
31925,17195,217790,24560
40550,21850,226320,31200
28655,15435,226490,22045
27280,14690,227540,20985
28950,15590,227830,22270
19600,10600,227840,15100
33050,17850,234080,25450
27785,14965,237350,21375
40450,21850,241560,31150
19005,10235,245340,14620
39250,21150,248170,30200
29700,16000,249420,22850
19980,10760,260200,15370
26650,14350,261220,20500
19465,10485,261920,14975
29935,16125,265690,23030
21060,11340,266420,16200
35750,19250,267260,27500
46700,25200,267290,35950
20700,11200,267850,15950
30050,16250,272450,23150
24400,13200,272550,18800
28325,15255,277630,21790
23500,12700,281820,18100
32750,17650,28513K,25200
36595,19705,293180,28150
35600,19200,293480,27400
40800,21970,294400,31385
28515,15355,302450,21935
28645,15425,305050,22035
20325,10945,306520,15635
20270,10920,315270,15595
18650,10050,316140,14350
19525,10515,500009,15020
19590,10550,500034,15070
22295,12005,520004,17150
32655,17585,520010,25120
19580,10550,520025,15065
21070,11350,550009,16210
18570,10000,550014,14285
19615,10565,550051,15090
21290,11470,590009,16380
